int __fastcall sub_8C7A8(int a1, util::SharedPtrDefaultBase *a2, const util::SharedPtrDefaultBase *a3)
{
  int v3; // r4
  const util::SharedPtrDefaultBase *v4; // r9
  util::SharedPtrDefaultBase *v5; // ST44_4
  int v6; // r0
  int v7; // r3
  _DWORD *v8; // r0
  _DWORD *v9; // r10
  util::SharedPtrDefaultBase *v10; // ST28_4
  int v11; // r10
  _DWORD *v12; // r0
  int v13; // r3
  _DWORD **v14; // r6
  comm::Proxy *v15; // r0
  void (__fastcall **v16)(comm::Proxy *); // r2
  _DWORD *v17; // r0
  int v18; // r3
  _DWORD **v19; // r6
  comm::Proxy *v20; // r0
  void (__fastcall **v21)(comm::Proxy *); // r2
  const util::SharedPtrDefaultBase *v22; // r1
  int v23; // r0
  int v24; // r0
  int v25; // r0
  int v26; // r0
  int v27; // r0
  int v28; // r0
  int v29; // r0
  _DWORD *v30; // r0
  int *v31; // r0
  int *v32; // r0
  int v33; // r0
  int v34; // r3
  int v35; // r3
  int v36; // r3
  int v37; // r3
  int v38; // r3
  int v39; // r3
  int v40; // r3
  int v41; // r3
  int v42; // r3
  bool v43; // r2
  bool v44; // r2
  int v45; // r0
  _QWORD *v46; // r10
  _DWORD *v47; // r0
  int v48; // r9
  void *v49; // r11
  _DWORD *v50; // r9
  _DWORD *v51; // r0
  int v52; // r9
  void *v53; // r10
  void *v54; // r0
  _DWORD *v56; // r10
  _DWORD *v57; // r3
  int v58; // r11
  _DWORD *v59; // r3
  _DWORD *v60; // r0
  int v61; // r9
  int v62; // r9
  int v63; // r9
  _DWORD *v64; // r0
  int v65; // r9
  void *v66; // r10
  unsigned int v67; // r3
  bool v68; // cf
  bool v69; // zf
  unsigned int v70; // r3
  bool v71; // cf
  bool v72; // zf
  int v73; // r0
  int *v74; // r3
  char *v75; // r1
  int v76; // r0
  int *v77; // r3
  char *v78; // r1
  char *v79; // [sp+0h] [bp-230h]
  int v80; // [sp+4h] [bp-22Ch]
  util::SharedPtrDefaultBase *v81; // [sp+24h] [bp-20Ch]
  util::SharedPtrDefaultBase *v82; // [sp+24h] [bp-20Ch]
  util::SharedPtrDefaultBase *v83; // [sp+28h] [bp-208h]
  util::SharedPtrDefaultBase *v84; // [sp+2Ch] [bp-204h]
  osal::NetDevice *v85; // [sp+34h] [bp-1FCh]
  tracing::Channel *v86; // [sp+38h] [bp-1F8h]
  char *s; // [sp+4Ch] [bp-1E4h]
  int v88; // [sp+50h] [bp-1E0h]
  char v89; // [sp+E8h] [bp-148h]
  int v90; // [sp+ECh] [bp-144h]
  void *v91; // [sp+F4h] [bp-13Ch]
  _DWORD *v92; // [sp+F8h] [bp-138h]
  char v93; // [sp+FCh] [bp-134h]
  char v94; // [sp+FDh] [bp-133h]
  char v95; // [sp+100h] [bp-130h]
  void **v96; // [sp+118h] [bp-118h]
  int v97; // [sp+11Ch] [bp-114h]
  int v98; // [sp+120h] [bp-110h]
  int v99; // [sp+124h] [bp-10Ch]
  void ***v100; // [sp+128h] [bp-108h]
  int v101; // [sp+140h] [bp-F0h]
  int *v102; // [sp+150h] [bp-E0h]
  int v103; // [sp+154h] [bp-DCh]
  void *v104[4]; // [sp+158h] [bp-D8h]
  int v105; // [sp+168h] [bp-C8h]
  int v106; // [sp+16Ch] [bp-C4h]
  __int16 v107; // [sp+170h] [bp-C0h]
  void *v108[4]; // [sp+174h] [bp-BCh]
  int v109; // [sp+184h] [bp-ACh]
  int v110; // [sp+188h] [bp-A8h]
  __int16 v111; // [sp+18Ch] [bp-A4h]
  void *v112[4]; // [sp+190h] [bp-A0h]
  int v113; // [sp+1A0h] [bp-90h]
  int v114; // [sp+1A4h] [bp-8Ch]
  __int16 v115; // [sp+1A8h] [bp-88h]
  char v116; // [sp+1ACh] [bp-84h]
  char v117; // [sp+1ADh] [bp-83h]
  char v118; // [sp+1AEh] [bp-82h]
  char v119; // [sp+1AFh] [bp-81h]
  char v120; // [sp+1B0h] [bp-80h]
  char v121; // [sp+1B1h] [bp-7Fh]
  char v122; // [sp+1B2h] [bp-7Eh]
  char v123; // [sp+1B3h] [bp-7Dh]
  char v124; // [sp+1B4h] [bp-7Ch]
  char v125; // [sp+1B5h] [bp-7Bh]
  char v126; // [sp+1B6h] [bp-7Ah]
  char v127; // [sp+1B7h] [bp-79h]
  char v128; // [sp+1B8h] [bp-78h]
  char v129; // [sp+1B9h] [bp-77h]
  char v130; // [sp+1BAh] [bp-76h]
  int v131; // [sp+1BCh] [bp-74h]
  int v132; // [sp+1C0h] [bp-70h]
  char v133; // [sp+1C4h] [bp-6Ch]

  v3 = a1;
  v4 = a3;
  v81 = a2;
  s = (char *)(a1 + 448);
  v5 = (util::SharedPtrDefaultBase *)(a1 + 568);
  sub_EA078();
  *(_DWORD *)(v3 + 328) = 0;
  *(_DWORD *)(v3 + 324) = &off_112428;
  *(_DWORD *)(v3 + 332) = &off_112448;
  *(_DWORD *)(v3 + 320) = &off_1159E0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_61FFC,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 336),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
